time: 0.492986 	 V: 5.9341 	 T: 27.67
time: 0.493989 	 V: 5.9341 	 T: 27.67
time: 0.494992 	 V: 5.9341 	 T: 27.67
time: 0.496002 	 V: 5.1599 	 T: 27.67
time: 0.497008 	 V: 5.9341 	 T: 27.67
time: 0.498008 	 V: 6.6184 	 T: 27.67
time: 0.499012 	 V: 5.9341 	 T: 27.67
time: 0.500011 	 V: 5.9341 	 T: 27.67
time: 0.501016 	 V: 5.1599 	 T: 27.67
time: 0.502037 	 V: 5.9341 	 T: 27.67
time: 0.503040 	 V: 5.9341 	 T: 27.67
time: 0.504045 	 V: 6.6184 	 T: 27.67
time: 0.505121 	 V: 6.6184 	 T: 27.67
time: 0.506121 	 V: 5.9341 	 T: 27.67
time: 0.507127 	 V: 5.9341 	 T: 27.67
time: 0.508129 	 V: 5.9341 	 T: 27.67
time: 0.509136 	 V: 5.1599 	 T: 27.67
time: 0.510138 	 V: 5.1599 	 T: 27.67
time: 0.511156 	 V: 5.9341 	 T: 27.67
time: 0.512160 	 V: 5.9341 	 T: 27.67
time: 0.513163 	 V: 5.1599 	 T: 27.67
time: 0.514167 	 V: 5.1599 	 T: 27.67
time: 0.515171 	 V: 5.1599 	 T: 27.67
time: 0.516174 	 V: 5.9341 	 T: 27.67
time: 0.517181 	 V: 5.1599 	 T: 27.67
time: 0.518183 	 V: 5.1599 	 T: 27.67
time: 0.519255 	 V: 5.9341 	 T: 27.67
time: 0.520255 	 V: 5.1599 	 T: 27.67
time: 0.521273 	 V: 5.1599 	 T: 27.67
time: 0.522279 	 V: 5.9341 	 T: 27.67
time: 0.523288 	 V: 5.1599 	 T: 27.67
time: 0.524289 	 V: 5.9341 	 T: 27.67
time: 0.525298 	 V: 5.1599 	 T: 27.67
time: 0.526296 	 V: 5.9341 	 T: 27.77
time: 0.527301 	 V: 5.9341 	 T: 27.77
time: 0.528306 	 V: 5.1599 	 T: 27.77
time: 0.529316 	 V: 5.9341 	 T: 27.77
time: 0.530321 	 V: 5.9341 	 T: 27.77
time: 0.531340 	 V: 5.9341 	 T: 27.77
time: 0.532345 	 V: 5.1599 	 T: 27.77
time: 0.533421 	 V: 5.9341 	 T: 27.77
time: 0.534423 	 V: 5.1599 	 T: 27.77
time: 0.535432 	 V: 5.9341 	 T: 27.77
time: 0.536435 	 V: 5.9341 	 T: 27.77
time: 0.537440 	 V: 5.9341 	 T: 27.77
time: 0.538450 	 V: 5.9341 	 T: 27.77
time: 0.539460 	 V: 5.9341 	 T: 27.77
time: 0.540463 	 V: 5.1599 	 T: 27.77
time: 0.541484 	 V: 5.9341 	 T: 27.77
time: 0.542487 	 V: 5.1599 	 T: 27.77
time: 0.543494 	 V: 5.1599 	 T: 27.77
time: 0.544497 	 V: 5.1599 	 T: 27.77
time: 0.545508 	 V: 5.1599 	 T: 27.77
